#	Zeit	Service	Flags	Prio	Quelladr	Quelle	Zieladr	Ziel	Rout	DPT	Typ	Daten	
136	21:02:15.077	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryWrite (S=6)	Anz. Bytes: 1 Adresse: 01 F9 Daten:$00	
137	21:02:15.094	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=6)		
138	21:02:15.121	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryRead (S=7)	Anz. Bytes: 1 Adresse: 01 F9	
139	21:02:15.135	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=7)		
140	21:02:15.161	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	MemoryResponse (S=6)	Anz. Bytes: 1 Adresse: 01 F9 Daten:$00	
141	21:02:15.181	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	ACK (S=6)		
142	21:02:15.209	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryWrite (S=8)	Anz. Bytes: 4 Adresse: 01 FA Daten:00 00 00 00	
143	21:02:15.225	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=8)		
144	21:02:15.251	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryRead (S=9)	Anz. Bytes: 4 Adresse: 01 FA	
145	21:02:15.267	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=9)		
146	21:02:15.296	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	MemoryResponse (S=7)	Anz. Bytes: 4 Adresse: 01 FA Daten:00 00 00 00	
147	21:02:15.318	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	ACK (S=7)		
148	21:02:15.359	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryWrite (S=10)	Anz. Bytes: 9 Adresse: 00 CE Daten:00 00 00 00 00 00 00 00 00	
149	21:02:15.375	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=10)		
150	21:02:15.401	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryRead (S=11)	Anz. Bytes: 9 Adresse: 00 CE	
151	21:02:15.417	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=11)		
152	21:02:15.453	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	MemoryResponse (S=8)	Anz. Bytes: 9 Adresse: 00 CE Daten:00 00 00 00 00 00 00 00 00	
153	21:02:15.474	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	ACK (S=8)		
154	21:02:15.517	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryWrite (S=12)	Anz. Bytes: 9 Adresse: 00 D7 Daten:00 00 00 00 00 00 00 00 00	
155	21:02:15.533	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=12)		
156	21:02:15.558	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryRead (S=13)	Anz. Bytes: 9 Adresse: 00 D7	
157	21:02:15.574	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=13)		
158	21:02:15.610	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	MemoryResponse (S=9)	Anz. Bytes: 9 Adresse: 00 D7 Daten:00 00 00 00 00 00 00 00 00	
159	21:02:15.631	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	ACK (S=9)		
160	21:02:15.661	zum Bus	 R	S	15.15.255	Nicht gefunden	1.1.31		6	-	MemoryRead (S=14)	Anz. Bytes: 1 Adresse: 01 16	
161	21:02:15.677	vom Bus	 	S	1.1.31		15.15.255	Nicht gefunden	6	-	ACK (S=14)		
