#,Zeit,Dienst,Flags ,Prio,Quelladresse,Quelle,Zieladresse,Ziel,Rout,Typ,DPT,Info
136,2010-11-04 22:16:41.351,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryWrite (S=2),,"Count=9, Address=00D7, Data=00 00 00 00 00 00 00 00 00"
137,2010-11-04 22:16:41.367,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=2),,
138,2010-11-04 22:16:41.393,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=3),,"Count=9, Address=00D7"
139,2010-11-04 22:16:41.409,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=3),,
140,2010-11-04 22:16:41.444,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=10),,"Count=9, Address=00D7, Data=00 00 00 00 00 00 00 00 00"
141,2010-11-04 22:16:41.466,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=10),,
142,2010-11-04 22:16:41.493,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=4),,"Count=1, Address=0116"
143,2010-11-04 22:16:41.509,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=4),,
144,2010-11-04 22:16:41.535,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=11),,"Count=1, Address=0116, Data=$01"
145,2010-11-04 22:16:41.555,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=11),,
146,2010-11-04 22:16:41.579,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryWrite (S=5),,"Count=1, Address=0116, Data=$09"
147,2010-11-04 22:16:41.595,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=5),,
148,2010-11-04 22:16:41.621,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=6),,"Count=1, Address=0116"
149,2010-11-04 22:16:41.637,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=6),,
150,2010-11-04 22:16:41.662,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=12),,"Count=1, Address=0116, Data=$09"
151,2010-11-04 22:16:41.684,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=12),,
152,2010-11-04 22:16:41.712,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryWrite (S=7),,"Count=1, Address=010D, Data=$FF"
153,2010-11-04 22:16:41.728,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=7),,
154,2010-11-04 22:16:41.753,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,MemoryRead (S=8),,"Count=1, Address=010D"
155,2010-11-04 22:16:41.770,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,T_ACK (S=8),,
156,2010-11-04 22:16:41.794,vom Bus,,System,1.1.31,Schaltaktor 8fach REG,15.15.255,-,6,MemoryResponse (S=13),,"Count=1, Address=010D, Data=$FF"
157,2010-11-04 22:16:41.816,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_ACK (S=13),,
158,2010-11-04 22:16:41.888,zum Bus,C,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,Restart (S=9),,
159,2010-11-04 22:16:41.936,zum Bus,,System,15.15.255,-,1.1.31,Schaltaktor 8fach REG,6,T_Disconnect,,
